zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate,cluster
25160414,1808 E Briarvale Ave, Anaheim,CA,92805,4,2.0,1474,592755,3
25404468,912 S Camerford Ln, Anaheim,CA,92808,4,4.0,2900,934932,4
25344391,131 S Chantilly St, Anaheim,CA,92806,4,3.0,2361,647767,4
25659201,906 S Country Glen Way, Anaheim,CA,92808,3,3.0,1230,514003,3
79806642,3145 W Anacapa Way, Anaheim,CA,92801,3,3.0,2125,559508,3
25686113,1035 S Stresa Way, Anaheim,CA,92808,3,2.0,1184,429608,3
25332526,711 S Claudina St, Anaheim,CA,92805,3,3.0,1218,456950,3
25217110,2854 W Academy Ave, Anaheim,CA,92804,3,2.0,1379,532424,3
25415165,330 S Smokeridge Ter, Anaheim,CA,92807,4,3.0,2803,876613,4
61499308,5466 E Big Sky Ln, Anaheim,CA,92807,4,3.0,2642,892758,4
25513427,8770 E Garden View Dr, Anaheim,CA,92808,4,4.0,2564,913609,4
25414645,5382 E Rural Ridge Cir, Anaheim,CA,92807,3,2.0,1923,760008,4
25418293,7863 E Viewmount Ct, Anaheim,CA,92808,4,3.0,1936,708603,4
25323520,1026 S Verde St, Anaheim,CA,92805,4,2.0,1386,703557,4
25159595,1222 N Minteer St, Anaheim,CA,92801,4,2.0,1240,484178,3
25414802,5800 E Avenida Portola, Anaheim,CA,92807,4,3.0,1767,681738,4
95743789,51 Maple Via, Anaheim,CA,92801,3,2.0,1009,133767,1
25333122,1103 S Peregrine Pl, Anaheim,CA,92806,4,2.0,1468,555549,3
25403375,8177 E Carnation Way, Anaheim,CA,92808,3,3.0,1890,719193,4
25163209,846 S Turquoise St, Anaheim,CA,92805,3,2.0,1213,470438,3
25322243,2101 S June Pl, Anaheim,CA,92802,3,3.0,1418,518503,3
25344443,408 N Via Porto, Anaheim,CA,92806,3,2.0,1180,386792,3
25412498,640 S Andover Dr, Anaheim,CA,92807,4,3.0,3000,916227,4
25175941,2031 S Eileen Dr, Anaheim,CA,92802,3,2.0,1965,677898,4
2097823818,836 N Redondo Dr East Dr, Anaheim,CA,92801,3,1.0,1059,562518,3
2109757892,514 N Wake Forest Dr, Anaheim,CA,92801,2,2.0,1087,377420,3
110541495,8197 E Somerset Ln, Anaheim,CA,92808,4,4.0,2899,917963,4
25164518,330 N London Pl, Anaheim,CA,92806,4,4.0,2377,667713,4
25323576,1231 E Turin Ave, Anaheim,CA,92805,3,3.0,1435,506084,3
25129489,1428 W Apollo Ave, Anaheim,CA,92802,3,2.0,1412,506760,3
25383160,3326 E Radcliffe Ave, Anaheim,CA,92806,3,2.0,1560,517867,3
82817328,2452 E Alden Ave, Anaheim,CA,92806,5,3.0,2492,700238,4
51623416,682 S Halliday St, Anaheim,CA,92804,3,3.0,2462,722149,4
25333551,2341 E Omega Ave, Anaheim,CA,92806,9,7.0,4345,1165027,4
25346101,1170 N Leeward Way, Anaheim,CA,92801,2,3.0,1766,576010,3
25226961,1658 W Mells Ln, Anaheim,CA,92802,5,3.0,2233,658876,4
25217740,721 S Magnolia Ave, Anaheim,CA,92804,4,3.0,2211,613975,3
25658981,661 S Glenhurst Dr, Anaheim,CA,92808,2,3.0,1374,497456,3
25749834,998 S Citron St # 38, Anaheim,CA,92805,2,1.0,824,242597,2
25345911,1763 W Glenoaks Ave, Anaheim,CA,92801,2,1.0,926,309887,2
25414981,5920 E Marsha Cir, Anaheim,CA,92807,4,3.0,2507,856367,4
2097895620,2651 W Lincoln Ave, Anaheim,CA,92801,3,3.0,1559,503408,3
25128270,402 S Indiana St, Anaheim,CA,92805,2,1.0,1389,469289,3
25154360,2545 W Gramercy Ave, Anaheim,CA,92801,3,2.5,1280,477152,3
