zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate,cluster,sqft_norm,zestimate_norm
2098249200,Anacasa Residence 3 Plan, Anacasa Anaheim,CA,92804,3,3.5,1754,540801,3,1.18194070081,1.09346057999
25130126,328 S Vine St, Anaheim,CA,92805,4,4.0,3380,959548,3,2.27762803235,1.94013678342
25152891,1400 N Roundtree Ln, Anaheim,CA,92801,3,2.0,1096,377822,0,0.738544474394,0.763928807922
2134540268,435 W Center St UNIT 308, Anaheim,CA,92805,3,2.0,2406,645327,3,1.62129380054,1.30480460595
83260190,435 W Center Street Promenade UNIT 328, Anaheim,CA,92805,2,2.0,1547,437689,0,1.04245283019,0.884975559948
25217332,711 S Bronwyn Dr, Anaheim,CA,92804,4,2.0,1869,587167,3,1.25943396226,1.18720928469
2097657365,1148 N Dresden St, Anaheim,CA,92801,3,3.0,1459,464686,0,0.983153638814,0.939561544955
2097895617,The Castilla - Plan 2 Plan, Cava Anaheim,CA,92801,3,3.0,1535,502539,0,1.03436657682,1.01609757824
25706580,278 N Wilshire Ave # PHB1, Anaheim,CA,92801,2,2.0,1074,265606,0,0.72371967655,0.537036157124
2124223033,724 S Crown Pointe Dr, Anaheim,CA,92807,4,3.0,2400,737145,3,1.61725067385,1.49045397334
25157728,2012 W Dogwood Ave, Anaheim,CA,92801,4,2.0,1239,533429,0,0.834905660377,1.0785549282
25415854,5850 E Trapper Trl, Anaheim,CA,92807,4,3.0,3350,1077478,3,2.25741239892,2.1785827297
2097895619,The Rioja - Plan 4 Plan, Cava Anaheim,CA,92801,4,4.0,1731,514257,3,1.16644204852,1.03979052828
25418146,7918 E Rainview Ct, Anaheim,CA,92808,4,3.0,0,724453,0,0.0,1.46479166561
25125415,630 N Clementine St, Anaheim,CA,92805,4,1.0,0,747356,0,0.0,1.51109987818
2097666094,2030 S Lewis # 16, Anaheim,CA,92802,3,2.0,1248,334353,0,0.840970350404,0.676037628076
79813832,1055 N Shepard St, Anaheim,CA,92806,0,0.0,4365,1060627,3,2.94137466307,2.14451122423
2109528640,0 Santa Ana Canyon Rd, Anaheim Hills,CA,92808,0,0.0,0,703392,0,0.0,1.42220784407
25125825,1506 W Dogwood Ave, Anaheim,CA,92801,3,2.0,1493,485357,0,1.00606469003,0.981356814655
25659254,1024 S Country Glen Way, Anaheim,CA,92808,3,3.0,1248,531634,0,0.840970350404,1.07492556778
25322752,112 W Wilken Way, Anaheim,CA,92802,4,3.0,1716,526995,3,1.15633423181,1.06554584469
25415877,5490 E Big Sky Ln, Anaheim,CA,92807,4,3.0,2642,846783,3,1.78032345013,1.71213409425
25129242,953 S Pepper St, Anaheim,CA,92802,3,2.0,1233,575590,0,0.830862533693,1.16380142647
25331816,512 S Adria St, Anaheim,CA,92802,3,2.0,1572,566553,3,1.05929919137,1.14552926488
25416017,729 S Langtree Ln, Anaheim,CA,92807,3,3.0,1650,603660,3,1.11185983827,1.22055694001
25660971,867 S Pagossa Way, Anaheim,CA,92808,3,3.0,1250,509251,0,0.842318059299,1.02966875768
25160195,571 N Century Dr, Anaheim,CA,92805,3,3.0,1886,605325,3,1.27088948787,1.22392344981
25731358,3562 W Stonepine Ln UNIT F, Anaheim,CA,92804,2,2.0,1026,355962,0,0.691374663073,0.719729466059
64750050,5815 E La Palma Ave SPC 182, Anaheim,CA,92807,3,2.0,1537,233216,0,1.03571428571,0.471545915453
25225990,2159 W Forest Ln, Anaheim,CA,92804,4,4.0,1641,648790,3,1.10579514825,1.31180654195
2097687039,207 N Magnolia Ave, Anaheim,CA,92801,2,2.0,1127,406658,0,0.759433962264,0.822233118167
2097688204,211 S Beach Blvd SPC 106, Anaheim,CA,92804,2,2.0,1400,710126,0,0.943396226415,1.43582350592
72508896,227 N Sweetwater St, Anaheim,CA,92807,4,2.0,1492,554878,0,1.00539083558,1.12192325773
25323514,1037 S Verde St, Anaheim,CA,92805,4,2.0,1317,540899,0,0.887466307278,1.09365872892
25416921,6744 E Swarthmore Dr, Anaheim,CA,92807,4,3.0,2456,789934,3,1.65498652291,1.59718952035
25725171,1148 N Dresden St # 27, Anaheim,CA,92801,3,3.0,1459,452135,0,0.983153638814,0.914184329049
25158413,626 N Anna Dr, Anaheim,CA,92805,0,0.0,0,983056,0,0.0,1.9876682623
25749833,996 S Citron St # 37, Anaheim,CA,92805,2,1.0,876,237584,0,0.590296495957,0.480377696114
2097694847,1250 E Bell Ave, Anaheim,CA,92805,2,1.0,936,335343,0,0.630727762803,0.678039336605
25688821,1720 N Willow Woods Dr UNIT C, Anaheim,CA,92807,3,2.0,1068,347043,0,0.719676549865,0.701695891948
25659252,1020 S Country Glen Way, Anaheim,CA,92808,2,3.0,1144,492284,0,0.770889487871,0.995362708574
25159928,1520 E Pinewood Ave, Anaheim,CA,92805,4,2.0,1510,535572,0,1.01752021563,1.08288791949
25660851,8038 E Far Canyon Way, Anaheim,CA,92808,3,3.0,1611,528526,3,1.08557951482,1.06864141616
2097702912,88 Penny Ln, Anaheim Hills,CA,92808,0,0.0,0,703392,0,0.0,1.42220784407
25727743,5891 E Mountain Loop Trl # 3, Anaheim,CA,92807,3,3.0,1831,561485,3,1.23382749326,1.13528213475
25128494,700 S Citron St, Anaheim,CA,92805,3,2.0,1560,532512,0,1.05121293801,1.0767008204
25224987,1431 S Easy Way, Anaheim,CA,92804,3,2.0,1314,542476,0,0.885444743935,1.09684730907
25345938,1769 W Greenleaf Ave, Anaheim,CA,92801,4,2.5,1403,369902,0,0.945417789757,0.74791513969
95758014,1616 S Euclid St SPC 76, Anaheim,CA,92802,2,2.0,0,533254,0,0.0,1.07820109083
2107844061,2320 S Cutty Way, Anaheim,CA,92802,2,2.0,1117,387037,0,0.75269541779,0.782560872664
25157649,1982 W La Palma Ave, Anaheim,CA,92801,4,2.0,1174,477456,0,0.791105121294,0.965381563051
25243102,3102 W Tyler Ave, Anaheim,CA,92801,4,3.0,2146,620674,3,1.4460916442,1.25495801972
2097723265,2654 11 W Meadowview Ln W # 11, Anaheim,CA,92804,2,3.0,1250,399635,0,0.842318059299,0.808033119177
25159895,1625 E Briarvale Ave, Anaheim,CA,92805,3,2.0,1534,490273,0,1.03369272237,0.991296611754
25412528,705 S Londerry Ln, Anaheim,CA,92807,4,3.0,3066,1061908,3,2.06603773585,2.14710131375
2107503331,435 W Center Street Promenade, Anaheim,CA,92805,3,2.0,1634,491885,3,1.10107816712,0.994555959379
25750516,207 N Magnolia Ave APT B, Anaheim,CA,92801,2,2.0,1127,420451,0,0.759433962264,0.850121568409
2107051954,550 S Casita St, Anaheim,CA,92805,3,3.0,1682,536099,3,1.13342318059,1.08395347544
25335235,216 N Citron St, Anaheim,CA,92805,6,3.0,1947,772405,3,1.31199460916,1.56174714782
25414011,5914 E Hadrians Cres, Anaheim,CA,92807,5,3.0,2394,739307,3,1.61320754717,1.49482538126
25159696,1259 E Banyan Ave, Anaheim,CA,92805,3,2.0,1242,465172,0,0.83692722372,0.940544201869
2101974527,Residence 3 Plan, Turnberry Anaheim,CA,92805,3,3.5,1800,558513,3,1.21293800539,1.12927296531
2097747058,427 N Beth St UNIT B, Anaheim,CA,92806,3,2.0,1266,402512,0,0.853099730458,0.813850205478
