zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate,cluster,sqft_norm,zestimate_norm
59779896,175 Bluxome St UNIT 204, San Francisco,CA,94107,2,2.0,1076,1001164,5,0.812075471698,0.765760142939
15133660,130 Ulloa St, San Francisco,CA,94127,3,2.0,1792,1512695,2,1.35245283019,1.15701477423
15162453,21 Bennington St, San Francisco,CA,94110,2,1.0,1000,958637,5,0.754716981132,0.733232523489
15080138,2425 Francisco St, San Francisco,CA,94123,3,2.0,0,2662738,6,0.0,2.03664797325
15151660,738 Arkansas St, San Francisco,CA,94107,2,2.0,1758,1751880,2,1.32679245283,1.33996016558
15145521,240 Liberty St APT B, San Francisco,CA,94114,2,1.0,892,1142877,5,0.67320754717,0.874152141789
2098183165,E1010 Plan, Rockwell San Francisco,CA,94109,1,1.0,616,842665,5,0.464905660377,0.644529039048
59700498,155 Harriet St STE 19, San Francisco,CA,94103,2,2.0,1010,907411,5,0.762264150943,0.69405130135
15132128,86 Midcrest Way, San Francisco,CA,94131,3,2.0,1383,1266517,2,1.04377358491,0.96872064812
79845287,501 Crescent Way APT 5311, San Francisco,CA,94134,2,2.0,875,585594,5,0.660377358491,0.447903185836
15192537,130 Majestic Ave, San Francisco,CA,94112,3,2.0,1250,815343,5,0.943396226415,0.623631265431
2107076991,301 Main St UNIT 24C, San Francisco,CA,94105,1,1.0,809,1396069,5,0.610566037736,1.06781106491
15167504,258 Harvard St, San Francisco,CA,94134,2,2.0,1600,894822,2,1.20754716981,0.684422355004
15118751,2262 42nd Ave, San Francisco,CA,94116,3,2.0,905,1082987,5,0.683018867925,0.828344087403
2097700391,323A 7th Ave # 3, San Francisco,CA,94118,3,2.0,1485,1286019,2,1.12075471698,0.983637139632
15165582,18 Dartmouth St, San Francisco,CA,94134,4,2.0,1207,900504,5,0.910943396226,0.688768345403
2097702990,401 Harrison St # 4C, San Francisco,CA,94105,2,2.0,1289,1446255,2,0.972830188679,1.10619682242
2097703618,3790 21st St, San Francisco,CA,94114,0,0.0,4282,3025196,0,3.23169811321,2.3138811637
2108453273,279 Graystone Ter APT 1, San Francisco,CA,94114,1,1.0,770,764620,5,0.581132075472,0.584834772818
15084914,815 Lyon St, San Francisco,CA,94115,2,1.0,1075,1162950,5,0.811320754717,0.889505373975
15131239,771 Panorama Dr, San Francisco,CA,94131,3,1.0,1298,1485086,2,0.979622641509,1.13589748297
15086065,625 Divisadero St # 6, San Francisco,CA,94117,0,1.0,353,661532,4,0.26641509434,0.505985871324
