82786118	425 1st St UNIT 2205	 San Francisco	CA	94105	1 bed	1 bath	-- sqft	$957,317
116156390	435 China Basin St UNIT 534	 San Francisco	CA	94158	2 beds	2 baths	1,391 sqft	$1,517,657
64972004	35 Lottie Bennett Ln APT 2	 San Francisco	CA	94115	1 bed	1 bath	-- sqft	$16,427
2097744720	Unit L Plan	 72 Townsend San Francisco	CA	94107	1 bed	1 bath	1,106 sqft	$1,188,276
15159329	1830-1832 Egbert Ave	 San Francisco	CA	94124	Studio	-- baths	880 sqft	$622,536
69819778	260 King St UNIT 741	 San Francisco	CA	94107	1 bed	1 bath	854 sqft	$822,147
15179445	245 Concord St	 San Francisco	CA	94112	2 beds	2 baths	1,670 sqft	$921,601
2097661525	Residence 1 Plan	 LUMINA San Francisco	CA	94105	1 bed	1 bath	876 sqft	$997,528
15168919	362 Princeton St	 San Francisco	CA	94134	3 beds	2 baths	1,356 sqft	$827,947
15067931	1151 Taylor St APT 1	 San Francisco	CA	94108	2 beds	2 baths	1,191 sqft	$1,346,496
2097657203	1530 Mcallister St APT 6	 San Francisco	CA	94115	2 beds	1 bath	754 sqft	$769,131
15135015	10 El Sereno Ct	 San Francisco	CA	94127	2 beds	3 baths	1,718 sqft	$1,647,497
96031913	300 Berry St UNIT 1405	 San Francisco	CA	94158	1 bed	1 bath	732 sqft	$900,364
15075119	1905 Laguna St APT 306	 San Francisco	CA	94115	1 bed	1 bath	685 sqft	$756,790
15071190	3233-3235 Steiner St	 San Francisco	CA	94123	4 beds	2 baths	2,830 sqft	$3,267,377
2098636734	Residence 2 Plan	 LUMINA San Francisco	CA	94105	2 beds	2 baths	1,189 sqft	$1,459,298
15191450	341 Howth St	 San Francisco	CA	94112	5 beds	5 baths	2,000 sqft	$998,091
2097658751	633 Capp St # 635A	 San Francisco	CA	94110	2 beds	1 bath	-- sqft	$783,050
2098035536	W407 Plan	 Rockwell San Francisco	CA	94109	2 beds	2 baths	1,164 sqft	$1,491,860
2097661270	228 And 228a Filbert St	 San Francisco	CA	94133	3 beds	3 baths	1,525 sqft	$2,081,624
15089336	64 7th Ave	 San Francisco	CA	94118	3 beds	3 baths	2,375 sqft	$2,045,043
2097661538	201 Folsom St # 6F	 San Francisco	CA	94105	2 beds	2 baths	1,187 sqft	$1,398,504
15142662	85 Duboce Ave APT 203	 San Francisco	CA	94103	2 beds	1 bath	1,040 sqft	$946,242
80744991	1011 23rd St APT 10	 San Francisco	CA	94107	1 bed	1.5 baths	-- sqft	$733,312
119685654	744 Church St	 San Francisco	CA	94114	2 beds	1 bath	1,005 sqft	$1,298,566
15163351	155 Newman St	 San Francisco	CA	94110	2 beds	1 bath	1,085 sqft	$940,019
15100317	835 42nd Ave	 San Francisco	CA	94121	3 beds	2.5 baths	2,477 sqft	$1,341,692
2098960305	2758 23rd St	 San Francisco	CA	94110	Studio	-- baths	1,372 sqft	$793,634
2106908379	1710 48th Ave	 San Francisco	CA	94122	2 beds	1 bath	1,000 sqft	$759,393
