2097556703,144 1/2 S Hayworth Ave, Los Angeles,CA,90048,3,4,2103,Unavailable
20568722,4828 4th Ave, Los Angeles,CA,90043,Studio,--,--,432967
20599662,1566 S Crescent Heights Blvd, Los Angeles,CA,90035,3,2,1605,1129482
20596684,2151 S Rimpau Blvd, Los Angeles,CA,90016,2,1,1232,532588
20595706,1938 Virginia Rd, Los Angeles,CA,90016,4,2,2126,1045262
20794128,1717 N Vista St, Los Angeles,CA,90046,3,2,1700,1534681
2113579090,S Bentley Ave, Los Angeles,CA,90025,4,4,2373,Unavailable
60115627,1007 Figueroa Ter APT B, Los Angeles,CA,90012,2,3,1592,634375
80384299,1100 S Hope St APT 1414, Los Angeles,CA,90015,1,1,947,667463
20497511,10338 Keswick Ave, Los Angeles,CA,90064,4,5,3458,1237559
20458388,3549 Corinth Ave, Los Angeles,CA,90066,4,4,2790,999001
20793608,2230 Maravilla Dr, Los Angeles,CA,90068,4,5.5,6000,3488951
19917576,6718 Jamieson Ave, Reseda,CA,91335,3,2,1513,525781
2097557243,2401 San Marco Dr, Los Angeles,CA,90068,0,0,0,Unavailable
2102044935,9631 N Oak Bend Dr, Tujunga,CA,91042,0,0,0,Unavailable
20755417,111 E Avenue 37, Los Angeles,CA,90031,5,3,2267,798273
20601280,1420 S Redondo Blvd, Los Angeles,CA,90019,1,--,2270,853103
20141601,10246 Montgomery Ave, North Hills,CA,91343,4,2,1755,550031
20770829,215 N Avenue 59, Los Angeles,CA,90042,5,3,1508,695602
2097557397,938 Palm Ave West Hollywood Ca # 90069, West Hollywood,CA,90069,2,2,1300,Unavailable
20539078,601 Amalfi Dr, Pacific Palisades,CA,90272,6,9,8300,11751165
20098789,10115 Pinewood Ave APT 202, Tujunga,CA,91042,4,3,1508,389094
95570303,2010 N Curson Ave, Los Angeles,CA,90046,3,3,2656,1951244
19943536,22221 Miston Dr, Woodland Hills,CA,91364,4,3.5,3048,976598
20529171,1030 Somera Rd, Los Angeles,CA,90077,6,4,3535,3805326
20173328,17726 Kinzie St UNIT 39, Northridge,CA,91325,3,3,1700,477321
2097602867,4225 Mammoth Ave, Sherman Oaks,CA,91423,5,6,4500,2049501
20630667,2830 Winter St, Los Angeles,CA,90033,4,2,1341,458886
20790522,966 N Normandie Ave, Los Angeles,CA,90029,4,2,2134,898092
19983296,4713 Lemona Ave, Sherman Oaks,CA,91403,4,3,2100,1657663
2097558171,18610 Collins St # 216, Tarzana,CA,91356,2,2,945,Unavailable
20583693,3711 Halldale Ave, Los Angeles,CA,90018,3,1,1043,407778
20515377,100 S Doheny Dr APT 501, Los Angeles,CA,90048,1,2,737,500824
20594768,1827 W 24th St, Los Angeles,CA,90018,5,4,3780,948853
2097558407,10525 Ilona Ave, Los Angeles,CA,90064,2,2,1100,Unavailable
19921515,6131 Wilbur Ave, Tarzana,CA,91335,3,1,1071,539885
19918252,6326 Zelzah Ave, Encino,CA,91316,4,3,2116,774955
20510185,10108 Empyrean Way APT 102, Los Angeles,CA,90067,2,3,2616,3209330
20590198,3901 W 28th St, Los Angeles,CA,90018,4,2,2179,634643
2105187376,315 E 8th St, Los Angeles,CA,90014,1,1,890,Unavailable
20133707,9145 Tobias Ave # A, Panorama City,CA,91402,4,3,1840,374725
95559697,10027 Mcbroom St, Shadow Hills,CA,91040,3,4,4134,1347470
19865415,8010 Hillary Dr, West Hills,CA,91304,4,3,2574,817311
2097559631,5567-022 Oakden Drive Hollywood Hls # 5567022006, Los Angeles,CA,90046,0,0,0,Unavailable
20965291,735 W 109th St, Los Angeles,CA,90044,3,2,1542,364857
20461720,2901 Glendon Ave, Los Angeles,CA,90064,3,2,1452,1036515
20525036,1049 Selby Ave, Los Angeles,CA,90024,5,5,3275,3061309
20935739,1512 W 66th St, Los Angeles,CA,90047,3,1,950,341146
2103275071,131 S Occidental Blvd, Los Angeles,CA,90057,3,2,11220,Unavailable
2097559845,5857 Willis Ave, Sherman Oaks,CA,91411,4,2,1640,Unavailable
2098140486,Residence 2 Plan, Cleo at Playa Vista Playa Vista,CA,90094,3,2.5,2242,1880546
20934333,7039 Denver Ave, Los Angeles,CA,90044,3,2,2618,556054
20755110,3416 N Figueroa St, Los Angeles,CA,90065,--,--,--,797912
82870954,4128 Whitsett Ave APT 103, Studio City,CA,91604,2,2,1010,494681
20986050,646 W 127th St, Los Angeles,CA,90044,4,4,2272,491208
20603547,1409 S New Hampshire Ave, Los Angeles,CA,90006,Studio,--,1981,567096
20622251,3707 Trinity St, Los Angeles,CA,90011,Studio,--,660,502065
20390189,8300 Winsford Ave, Los Angeles,CA,90045,3,2,1549,930099
20008791,6339 Morse Ave APT 204, North Hollywood,CA,91606,3,2,1172,324982
20451573,633 Flower Ave APT 2, Venice,CA,90291,3,3,1864,1316972
20930448,514 E Gage Ave, Los Angeles,CA,90003,3,2,1086,307010
19957856,13934 Cohasset St, Van Nuys,CA,91405,3,2,1799,547324
68018149,1828 Glendon Ave APT 102, Los Angeles,CA,90025,3,3,1645,934771
20139788,11484 Lev Ave, Mission Hills,CA,91345,4,3,2206,500314
2097562366,5253 Vantage Ave # 104, Valley Village,CA,91607,3,2,1740,Unavailable
20627293,2829 Hyans St, Los Angeles,CA,90026,0,0,0,651989
20491898,1722 S Shenandoah St, Los Angeles,CA,90035,2,2,1329,1011678
72699479,4115 Glencoe Ave APT 214, Venice,CA,90292,2,2,1550,972552
2101508369,1420 S Redondo Blvd ##, Los Angeles,CA,90019,3,2,1053,1388536
2097563182,9018 Ilex Ave # A, Sun Valley,CA,91352,2,1,1062,Unavailable
20934175,6636 Estrella Ave, Los Angeles,CA,90044,1,1,735,294604
20571151,1046 W 48th St, Los Angeles,CA,90037,4,1,2350,467962
60763136,5143 Bakman Ave APT 214, North Hollywood,CA,91601,1,1,657,271123
2097563334,Torreon Dr, Woodland Hills,CA,91367,0,0,0,Unavailable
20536442,11901 W Sunset Blvd APT 204, Los Angeles,CA,90049,2,2,1665,739488
20544177,848 Bienveneda Ave, Pacific Palisades,CA,90272,4,3,1889,2001434
20795002,1743 Courtney Ave, Los Angeles,CA,90046,Studio,--,4280,2643164
2101523509,2301 S Ridgeley Dr, Los Angeles,CA,90016,Studio,--,6840,Unavailable
95669660,10420 S Figueroa St, Los Angeles,CA,90003,16,12,6004,Unavailable
81959314,1100 S Hope St APT 1904, Los Angeles,CA,90015,3,4,3487,2368443
20803651,2657 Larmar Rd, Los Angeles,CA,90068,3,3,2292,2079115
20506286,1353 Woodruff Ave, Los Angeles,CA,90024,3,2,1825,1789299
65240715,18152 Stallion Mdws, Granada Hills,CA,91344,5,5,5348,1605218
20532967,9681 Highridge Dr, Beverly Hills,CA,90210,5,6,4200,3856476
19938538,5325 Newcastle Ave UNIT 127, Encino,CA,91316,Studio,1,475,197515
20853636,5170 Maison Ave, Los Angeles,CA,90041,3,2,1545,754008
2097564868,8121 Truxton Ave, Westchester,CA,90045,3,2,1446,Unavailable
2097564955,666 W 19th St # A-C, San Pedro,CA,90731,4,4,3803,Unavailable
2097565095,18822 Kenya St, Northridge,CA,91326,4,3,2772,Unavailable
20643302,3140 Budau Ave, Los Angeles,CA,90032,3,1,1160,402340
20027949,12134 Viewcrest Rd, Studio City,CA,91604,2,2,1142,1079254
20044893,3581 Multiview Dr, Los Angeles,CA,90068,6,7,9302,4760191
