ZPID,Street, City, State_Zipcode, Bedroom, Bathroom, Sqft, Zestimate
2097579536,111 Brookside Ave, Santa Clara, CA 95050 ,3 beds,2 baths,1,356 sqft,Unavailable
19491454,4289 Dry Bed Ct, Santa Clara, CA 95054 ,3 beds,3 baths,1,564 sqft,$868,576
19595185,2412 Diane Marie Way, Santa Clara, CA 95050 ,3 beds,2 baths,1,580 sqft,$915,237
19602620,2857 Regnart Way, Santa Clara, CA 95051 ,Studio,-- baths,1,825 sqft,$1,522,510
19580249,875 Monroe St, Santa Clara, CA 95050 ,3 beds,2 baths,1,400 sqft,$1,030,075
19607039,2278 Rita Ct, Santa Clara, CA 95050 ,6 beds,6 baths,5,206 sqft,$2,417,236
19579615,1825 Benton St, Santa Clara, CA 95050 ,3 beds,2 baths,1,437 sqft,$1,092,169
19553269,2427 South Dr, Santa Clara, CA 95051 ,3 beds,3 baths,1,311 sqft,$817,061
69300902,3901 Lick Mill Blvd APT 414, Santa Clara, CA 95054 ,2 beds,2 baths,1,148 sqft,$832,512
19601612,3125 Mauricia Ave, Santa Clara, CA 95051 ,3 beds,2 baths,1,136 sqft,$1,450,256
19490553,4150 Bassett St, Santa Clara, CA 95054 ,3 beds,2 baths,908 sqft,$912,955
19600820,2463 Golf Links Cir, Santa Clara, CA 95050 ,3 beds,3 baths,1,940 sqft,$1,072,363
19598382,638 Woodhams Rd, Santa Clara, CA 95051 ,4 beds,2 baths,1,777 sqft,$1,389,466
112090061,Kiely Blvd, Santa Clara, CA 95051 ,1 bed,1 bath,622 sqft,$383,320
19551045,1720 Halford Ave APT 225, Santa Clara, CA 95051 ,1 bed,1 bath,678 sqft,$405,103
19594411,2236 Dianne Dr, Santa Clara, CA 95050 ,4 beds,3 baths,2,170 sqft,$1,535,430
79845162,1883 Agnew Rd UNIT 367, Santa Clara, CA 95054 ,3 beds,2 baths,1,361 sqft,$854,709
19599352,628 San Miguel Ave, Santa Clara, CA 95050 ,2 beds,2 baths,1,080 sqft,$1,014,603
19551999,2071 Bowers Ave, Santa Clara, CA 95051 ,3 beds,2 baths,1,532 sqft,$1,088,636
19606678,318 Los Padres Blvd, Santa Clara, CA 95050 ,4 beds,2 baths,1,950 sqft,$1,398,789
19595052,2932 Humbolt Ave, Santa Clara, CA 95051 ,2 beds,1 bath,1,586 sqft,$1,145,650
19597366,1400 Bowe Ave APT 801, Santa Clara, CA 95051 ,2 beds,2 baths,1,062 sqft,$713,359
19598274,629 Barto St, Santa Clara, CA 95051 ,3 beds,2 baths,1,127 sqft,$957,764
19553262,2391 South Dr, Santa Clara, CA 95051 ,4 beds,3 baths,1,506 sqft,$873,118
19600556,2763 Mauricia Ave # B, Santa Clara, CA 95051 ,2 beds,2 baths,1,067 sqft,$735,067
19598824,704 Kiely Blvd, Santa Clara, CA 95051 ,3 beds,2 baths,1,254 sqft,$1,223,978
19557491,1690 Civic Center Dr APT 206, Santa Clara, CA 95050 ,2 beds,2 baths,1,003 sqft,$659,925
19594765,2681 Benton St, Santa Clara, CA 95051 ,4 beds,3 baths,1,605 sqft,$1,106,232
19580246,811 Monroe St, Santa Clara, CA 95050 ,3 beds,2 baths,1,624 sqft,$1,092,049
19490465,4390 Bassett St, Santa Clara, CA 95054 ,3 beds,1 bath,1,246 sqft,$986,206
19556946,977 Warburton Ave APT 301, Santa Clara, CA 95050 ,2 beds,2 baths,876 sqft,$564,288
19579734,1110 Lincoln St, Santa Clara, CA 95050 ,3 beds,2 baths,1,580 sqft,$1,075,729
19597761,3522 Oxford Dr, Santa Clara, CA 95051 ,4 beds,3 baths,1,767 sqft,$1,378,110
61322148,4241 Marston Ln, Santa Clara, CA 95054 ,3 beds,3 baths,1,671 sqft,$1,392,008
19487755,3586 Rowena Ct, Santa Clara, CA 95054 ,3 beds,1 bath,1,008 sqft,$871,572
19593977,3358 Granada Ave, Santa Clara, CA 95051 ,3 beds,2 baths,1,166 sqft,$908,676
63064512,999 Cole Pl, Santa Clara, CA 95054 ,3 beds,2.5 baths,1,700 sqft,$1,173,439
19487914,753 Laurie Ave, Santa Clara, CA 95054 ,3 beds,2 baths,1,207 sqft,$972,350
94698004,1585 Agnew Rd UNIT 3, Santa Clara, CA 95054 ,3 beds,3 baths,1,645 sqft,$1,084,878
19551998,2061 Bowers Ave, Santa Clara, CA 95051 ,4 beds,2 baths,1,095 sqft,Unavailable
19488460,4916 Plaza Escuela, Santa Clara, CA 95054 ,2 beds,2 baths,1,080 sqft,$615,689
19598413,644 Hamilton Ln, Santa Clara, CA 95051 ,3 beds,2 baths,1,762 sqft,$1,540,649
82955967,851 Monroe St, Santa Clara, CA 95050 ,4 beds,2.5 baths,1,840 sqft,$1,056,220
19552565,2242 Bowers Ave, Santa Clara, CA 95051 ,3 beds,2 baths,1,207 sqft,$1,081,521
19596594,1033 Alta Mira Dr APT A, Santa Clara, CA 95051 ,2 beds,2 baths,1,067 sqft,$651,038
82959060,1826 Market St, Santa Clara, CA 95050 ,3 beds,3 baths,1,366 sqft,$982,436
64833755,2250 Monroe St APT 391, Santa Clara, CA 95050 ,2 beds,2 baths,946 sqft,$638,322
79843875,4740 Snead Dr, Santa Clara, CA 95054 ,4 beds,3 baths,2,146 sqft,$1,356,642
19556961,1702 Loveland Ct, Santa Clara, CA 95050 ,3 beds,3 baths,1,862 sqft,$1,145,916
79842564,1883 Agnew Rd UNIT 452, Santa Clara, CA 95054 ,2 beds,2 baths,1,070 sqft,$743,048
19553598,1695 Pomeroy Ave, Santa Clara, CA 95051 ,3 beds,1 bath,1,196 sqft,$886,898
54770005,2163 Kingsbury Cir, Santa Clara, CA 95054 ,4 beds,2.5 baths,1,602 sqft,$1,086,569
19580364,757 Catala Ct, Santa Clara, CA 95050 ,5 beds,2 baths,2,000 sqft,$1,393,971
19597825,669 Nazareth Ct, Santa Clara, CA 95051 ,3 beds,2 baths,1,513 sqft,$1,035,839
19597909,3482 Wheeling Dr, Santa Clara, CA 95051 ,4 beds,2 baths,1,418 sqft,$1,258,045
19550988,1750 Halford Ave APT 207, Santa Clara, CA 95051 ,2 beds,2 baths,1,032 sqft,$535,106
79843984,1883 Agnew Rd UNIT 440, Santa Clara, CA 95054 ,2 beds,2 baths,1,070 sqft,$741,398
19492216,2161 Esperanca Ave, Santa Clara, CA 95054 ,3 beds,2.5 baths,1,473 sqft,$994,694
19600398,464 Muriel Ct, Santa Clara, CA 95051 ,6 beds,3.5 baths,3,845 sqft,$2,421,303
19600874,562 Los Olivos Dr, Santa Clara, CA 95050 ,3 beds,3 baths,1,872 sqft,$967,567
19488292,418 Greenwood Dr, Santa Clara, CA 95054 ,5 beds,3 baths,2,100 sqft,$947,597
19552675,2529 Moraine Dr, Santa Clara, CA 95051 ,3 beds,3 baths,1,396 sqft,$1,002,618
19580031,880 N Winchester Blvd APT 101, Santa Clara, CA 95050 ,2 beds,1.5 baths,1,176 sqft,$739,168
2098378298,808 Cherry Orchard Pl, Santa Clara, CA 95051 ,4 beds,3 baths,2,085 sqft,$1,274,160
82961873,808 Cherry Orchard Pl, Santa Clara, CA 95051 ,4 beds,3 baths,2,085 sqft,$1,385,961
19579270,1873 Clifford St, Santa Clara, CA 95050 ,3 beds,2 baths,1,332 sqft,$1,012,326
19551320,3755 Terstena Pl APT 172, Santa Clara, CA 95051 ,2 beds,1 bath,912 sqft,$623,305
2098470956,2201 Monroe St APT 1102, Santa Clara, CA 95050 ,1 bed,1 bath,790 sqft,$500,735
19594388,2135 Laurel Dr, Santa Clara, CA 95050 ,3 beds,1 bath,1,083 sqft,$952,828
19557718,2201 Monroe St APT 904, Santa Clara, CA 95050 ,2 beds,2 baths,1,142 sqft,$580,990
19579666,1154 Inverness Ave, Santa Clara, CA 95050 ,5 beds,3 baths,3,244 sqft,$1,529,067
19579370,1436 Jefferson St, Santa Clara, CA 95050 ,3 beds,2 baths,1,784 sqft,$1,126,628
64534811,2250 Monroe St APT 229, Santa Clara, CA 95050 ,2 beds,2 baths,913 sqft,$612,146
19555540,1992 Bowers Ave, Santa Clara, CA 95051 ,4 beds,2 baths,1,158 sqft,$970,287
19553260,2383 South Dr, Santa Clara, CA 95051 ,2 beds,2 baths,1,197 sqft,$806,688
54770523,2116 Bailey Pl, Santa Clara, CA 95050 ,4 beds,3 baths,1,902 sqft,$1,315,112
19553895,3150 James Ct, Santa Clara, CA 95051 ,3 beds,2 baths,1,512 sqft,$1,134,378
19557559,1802 Park Vista Cir, Santa Clara, CA 95050 ,3 beds,2.5 baths,1,670 sqft,$931,961
