ZPID,Street, City, State_Zipcode, Bedroom, Bathroom, Sqft, Zestimate
19565951,1330 Dryden Dr, San Jose, CA 95131 ,4 beds,2 baths,2,076 sqft,$957,237
19591723,1522 De Rose Way, San Jose, CA 95126 ,3 beds,3 baths,1,470 sqft,$752,616
19819289,6076 Randall Ct, San Jose, CA 95123 ,4 beds,3 baths,1,694 sqft,$861,517
19688320,1340 Winona Dr, San Jose, CA 95125 ,3 beds,3 baths,2,230 sqft,$1,419,685
19650147,1546 Cameo Dr, San Jose, CA 95129 ,3 beds,2 baths,1,234 sqft,$1,392,609
19766422,6501 Crenshaw Ct, San Jose, CA 95120 ,2 beds,3 baths,1,628 sqft,$819,926
19694146,1805 Karen Ct, San Jose, CA 95124 ,3 beds,2 baths,1,480 sqft,$1,111,028
19578424,853 Riverside Dr, San Jose, CA 95125 ,3 beds,3 baths,2,937 sqft,$1,753,939
19823683,6394 Felder Dr, San Jose, CA 95123 ,3 beds,2 baths,1,120 sqft,$756,582
19671331,2198 Casa Mia Dr, San Jose, CA 95124 ,3 beds,2 baths,1,544 sqft,$1,058,475
19834906,1037 Fleetwood Dr, San Jose, CA 95120 ,5 beds,4 baths,2,550 sqft,$1,553,877
54771068,947 Desmet Way, San Jose, CA 95125 ,3 beds,3 baths,2,069 sqft,$990,675
51074396,470 White Chapel Ave, San Jose, CA 95136 ,3 beds,4 baths,1,690 sqft,$745,604
2099071461,Plan 2 Plan, Promenade at Communications Hill San Jose, CA 95136 ,4 beds,3.5 baths,2,153 sqft,$850,770
2097626221,601 Hermitage St # 601, San Jose, CA 95134 ,3 beds,2 baths,1,040 sqft,$489,154
69303055,372 Casselino Dr, San Jose, CA 95136 ,5 beds,3 baths,3,221 sqft,$1,236,883
19578064,946 Delmas Ave, San Jose, CA 95125 ,2 beds,2 baths,1,148 sqft,$827,268
19812317,5419 Silver Vista Way, San Jose, CA 95138 ,2 beds,2 baths,1,590 sqft,$903,431
19642365,1600 Danromas Way, San Jose, CA 95129 ,4 beds,2 baths,1,484 sqft,$1,713,438
82957793,88 N Jackson Ave UNIT 122, San Jose, CA 95116 ,1 bed,1 bath,1,069 sqft,$447,138
19712149,144 S 3rd St UNIT 130, San Jose, CA 95112 ,2 beds,3 baths,1,734 sqft,$742,671
2097628956,3 Esfahan Dr # 4, San Jose, CA 95111 ,3 beds,4 baths,1,848 sqft,$760,495
19837680,1084 Almaden Village Ln, San Jose, CA 95120 ,3 beds,3 baths,1,673 sqft,$759,567
19819475,6053 Salida Del Sol, San Jose, CA 95123 ,7 beds,5 baths,3,141 sqft,$1,177,745
2097629863,3 Esfahan Dr # 2, San Jose, CA 95111 ,3 beds,4 baths,1,303 sqft,$671,597
19573012,2195 Rockrose Ct, San Jose, CA 95133 ,5 beds,3 baths,2,329 sqft,$1,085,424
89472853,2833 Lavender Ter, San Jose, CA 95111 ,2 beds,3 baths,1,405 sqft,$643,206
19727685,2568 Dumont Ct, San Jose, CA 95122 ,3 beds,2 baths,1,176 sqft,$620,833
2097631703,473 Summerland Dr, San Jose, CA 95134 ,3 beds,2 baths,1,440 sqft,$740,725
19575445,1211 Magnolia Ave, San Jose, CA 95126 ,2 beds,2 baths,1,328 sqft,$894,357
2098106055,Residence 3 - Plan 2423 Plan, Avenue One : Grand at Avenue One San Jose, CA 95123 ,4 beds,3.5 baths,2,423 sqft,$897,605
19753282,4942 Alan Ave, San Jose, CA 95124 ,4 beds,2 baths,1,374 sqft,$1,133,854
19740498,2487 Zachary Way, San Jose, CA 95121 ,4 beds,4 baths,1,579 sqft,$743,285
19707269,416 Avenida Arboles, San Jose, CA 95123 ,4 beds,3 baths,2,400 sqft,$851,176
19676101,3198 Kimber Ct APT 96, San Jose, CA 95124 ,2 beds,1 bath,886 sqft,$469,434
19754432,1628 Canna Ln, San Jose, CA 95124 ,3 beds,2 baths,1,569 sqft,$1,170,996
124742768,1808 Lavender Crk, San Jose, CA 95120 ,5 beds,4 baths,2,484 sqft,$1,574,584
82962007,334 Santana Row APT 239, San Jose, CA 95128 ,1 bed,1 bath,736 sqft,$635,755
82787664,662 Helweh Ct, San Jose, CA 95126 ,4 beds,3 baths,2,376 sqft,$1,199,707
19756860,5768 Chambertin Dr, San Jose, CA 95118 ,3 beds,3 baths,1,756 sqft,$1,219,472
19708895,4808 Wellington Park Dr, San Jose, CA 95136 ,3 beds,2 baths,1,698 sqft,$874,169
19814440,834 Coyote Rd, San Jose, CA 95111 ,2 beds,2 baths,992 sqft,$519,261
19754247,1713 Canna Ln, San Jose, CA 95124 ,3 beds,2 baths,1,210 sqft,$1,089,726
2097639050,540 Bonita Ave SPC 203, San Jose, CA 95116 ,1 bed,1 bath,399 sqft,$481,761
19717013,1419 Mcquesten Dr APT A, San Jose, CA 95122 ,2 beds,1 bath,888 sqft,$406,889
